"V1" "V2"
"1" 0.86946 1.7584
"2" -0.16145 0.021252
"3" 0.12834 0.738
"4" -0.034942 0.015524
"5" -1.4408 -0.40755
"6" -0.1317 0.71358
"7" -1.5798 -0.86377
"8" 0.24747 -0.72448
"9" -0.0092259 0.35908
"10" 0.92867 1.3351
"11" 0.84213 0.875
"12" 0.47628 -1.2528
"13" -0.049213 0.19177
"14" -0.13768 0.18465
"15" -0.10705 -1.4647
"16" -1.072 -1.1902
"17" -0.16194 -0.31533
"18" -0.14551 -0.89971
"19" 0.04905 -0.64937
"20" 1.1887 -0.097052
"21" 1.0466 1.3667
"22" 1.5261 -0.55712
"23" 0.26776 -1.3032
"24" 0.4099 -0.022215
"25" 1.3876 -0.38783
"26" 0.0383 -0.11028
"27" 0.036604 -0.48767
"28" -0.383 -0.79381
"29" -1.6947 0.22621
"30" -0.40122 0.086402
"31" 0.55098 0.98075
"32" -0.070609 -1.6689
"33" -1.2686 1.4715
"34" 0.38919 -0.031265
"35" 1.8558 0.40672
"36" -0.46078 -0.40842
"37" -0.31298 0.55401
"38" 0.12158 0.10191
"39" 0.71841 0.43797
"40" -0.047921 0.17873
"41" -0.065157 -0.33437
"42" 0.24609 0.45762
"43" -1.2567 -1.4538
"44" -0.53154 -1.4173
"45" -0.54479 1.355
"46" -0.48119 -1.7607
"47" 1.2938 0.031045
"48" 0.34358 -0.085408
"49" 0.41192 -0.041988
"50" 1.0938 0.57345
"51" -1.9851 0.18026
"52" -0.64305 -1.6188
"53" 0.21735 -0.069126
"54" 0.3215 -0.15103
"55" 0.85907 -0.28842
"56" -0.952 0.6808
"57" 0.3842 -0.39391
"58" 1.0528 -0.18969
"59" -0.26625 -1.128
"60" -0.72508 -0.44331
"61" 1.1973 -1.1622
"62" 0.030714 0.26117
"63" -0.75102 0.47438
"64" -0.089376 -0.06946
"65" 0.85857 -1.6769
"66" 0.9561 -0.087678
"67" -0.86318 -0.43312
"68" -1.3851 0.70632
"69" 0.29449 1.4007
"70" 0.21116 0.025038
"71" 1.0946 -1.0043
"72" 1.8895 -0.034622
"73" -0.62774 -0.87944
"74" 0.26691 1.5399
"75" 1.1871e-05 -0.0053583
"76" 1.4477 1.1085
"77" -0.8517 -1.6799
"78" -0.004798 0.36518
"79" 0.46449 -0.14295
"80" 0.28555 -0.10248
"81" 1.1002 0.27738
"82" -1.5183 -0.73435
"83" 1.208 -0.32312
"84" -0.8017 -0.55806
"85" -1.2628 0.03199
"86" 0.28761 -0.15384
"87" 0.93775 -0.95681
"88" -0.6793 0.57868
"89" -1.002 0.55761
"90" -0.5807 1.2897
"91" -0.055812 0.97627
"92" 1.2679 1.5069
"93" -0.68995 -0.59273
"94" -0.95257 1.1476
"95" 0.20213 -0.50782
"96" 0.63254 -0.73944
"97" -0.83336 0.3491
"98" -0.5552 -0.50136
"99" 0.28624 1.4953
"100" 0.33173 -0.14832
"101" 0.3594 2.8262
"102" -2.4234 2.059
"103" 2.2189 -1.2282
"104" 0.094159 -3.1458
"105" -2.7945 0.45091
"106" 2.2949 -1.0553
"107" -1.406 2.5706
"108" 0.68628 2.2878
"109" -1.5071 -3.5417
"110" 3.8905 -0.99684
"111" 2.3513 -0.86114
"112" -2.1014 -1.8339
"113" 3.2193 -2.2545
"114" 2.1345 -0.55829
"115" 2.5013 -0.55574
"116" -1.8983 -1.755
"117" -2.0251 3.0746
"118" 0.6835 3.5121
"119" -0.80474 3.0402
"120" 0.68019 -2.6533
"121" 0.50459 2.2698
"122" -3.4832 0.82794
"123" -0.72509 3.1921
"124" 2.2349 -1.1475
"125" 3.3403 1.9083
"126" 1.6479 1.6365
"127" 0.15459 3.8964
"128" -1.3637 -2.2755
"129" 2.9234 -2.0677
"130" -3.6178 -1.4383
"131" -0.86002 -3.2907
"132" 3.4818 -1.4339
"133" 1.2944 3.7179
"134" 0.18289 3.3507
"135" -1.3719 1.9721
"136" -2.1652 -2.5171
"137" 3.7327 1.6895
"138" 2.1577 0.53554
"139" -0.60361 2.3306
"140" 1.8067 -2.1028
"141" 2.2674 -3.1421
"142" -3.1606 -0.76891
"143" 1.7844 -2.0894
"144" 2.2587 1.8039
"145" -2.9199 2.4143
"146" 2.5131 -0.12409
"147" -0.17539 2.6653
"148" -0.72877 2.0676
"149" -2.0359 2.9245
"150" 1.4896 -3.1394
"151" -1.815 3.2777
"152" -3.8442 -0.3992
"153" 2.1267 0.64728
"154" 1.9989 0.96377
"155" -2.1836 -0.20634
"156" 1.0181 1.9253
"157" -1.6328 2.9601
"158" -2.7302 -1.4588
"159" 2.0871 -0.7923
"160" 2.2667 -1.5646
"161" 1.2722 -2.3376
"162" 2.8522 -0.14795
"163" 0.45976 2.7863
"164" -2.1451 0.75789
"165" -2.8358 1.9678
"166" -0.91818 -3.2416
"167" 1.6251 3.4191
"168" 1.8822 -1.6808
"169" 2.6866 2.352
"170" 3.0516 1.7676
"171" 1.689 1.0899
"172" -0.54083 3.9997
"173" -2.3088 0.42229
"174" -0.26535 -3.1875
"175" 1.9784 1.2006
"176" 1.3181 1.7647
"177" -2.3712 -1.6121
"178" 2.5326 0.41193
"179" 0.31142 -3.1908
"180" -2.1882 2.402
"181" 3.3405 0.50452
"182" -0.64461 2.3492
"183" -3.1109 -1.3418
"184" 2.7532 1.6598
"185" 3.0338 -1.8011
"186" 0.55326 -3.2497
"187" -0.3684 2.1586
"188" -3.5082 1.701
"189" 2.8925 -1.4994
"190" -1.5934 -3.3142
"191" -3.4767 -0.64924
"192" 1.5387 1.626
"193" -2.0381 1.6548
"194" -1.0513 -3.1338
"195" -0.67718 1.9399
"196" -0.62232 -2.3717
"197" 0.93377 1.9785
"198" -2.4637 0.84131
"199" 2.8754 2.4508
"200" 1.8158 -1.3214
